n,Gamma,Delta,runtime,LBgap,UBgap,solved
10,3,2,8.2,0.0,0.0,20
10,5,2,5.1,0.0,0.0,20
10,7,2,3.0,0.0,0.0,20
15,3,2,55.4,0.0,0.0,20
15,5,2,59.3,0.0,0.0,20
15,7,2,64.3,0.0,0.0,20
20,3,2,242.5,0.0,0.0,19
20,5,2,292.2,0.0,0.0,19
20,7,2,321.3,0.0,0.0,20
