n,Gamma,Delta,runtime,LBgap,UBgap,solved
10,3,2,2.6,0,0,20
10,5,2,4.1,0,0,20
10,7,2,2.1,0,0,20
15,3,2,135.3,0,0,19
15,5,2,202.6,0,0,17
15,7,2,209.4,0,0,16
20,3,2,591.1,0.8,0,3
20,5,2,599.9,0.5,0,1
20,7,2,600,0.5,0,0
