n,Gamma,Delta,runtime,LBgap,UBgap,solved
10,3,2,2.6,0.0,0.0,20
10,5,2,4.1,0.0,0.0,20
10,7,2,3.4,0.0,0.0,20
15,3,2,110.0,0.0,0.0,20
15,5,2,159.0,0.0,0.0,18
15,7,2,198.1,0.0,0.0,16
20,3,2,586.4,0.8,0.0,2
20,5,2,600.0,0.6,0.0,0
20,7,2,600.0,0.4,0.0,0
