n,Gamma,Delta,runtime,LBgap,UBgap,solved
10,3,2,600.0,100.0,0.2,0
10,5,2,600.0,100.0,0.1,0
10,7,2,600.0,100.0,0.0,0
15,3,2,600.0,100.0,0.3,0
15,5,2,600.0,100.0,0.3,0
15,7,2,600.0,100.0,0.3,0
20,3,2,600.0,100.0,0.3,0
20,5,2,600.0,100.0,0.4,0
20,7,2,600.0,100.0,0.5,0
