instance 	 n 	 Gamma 	 l 	 objval 
3 	 20 	 3 	 1 	 16790.00 
3 	 20 	 5 	 1 	 18272.00 
3 	 20 	 7 	 1 	 19441.00 
4 	 20 	 3 	 1 	 12928.00 
4 	 20 	 5 	 1 	 14839.00 
4 	 20 	 7 	 1 	 16358.00 
5 	 20 	 3 	 1 	 9007.00 
5 	 20 	 5 	 1 	 10760.00 
5 	 20 	 7 	 1 	 11990.00 
6 	 20 	 3 	 1 	 10999.00 
6 	 20 	 5 	 1 	 12463.00 
6 	 20 	 7 	 1 	 13785.00 
7 	 20 	 3 	 1 	 11452.00 
7 	 20 	 5 	 1 	 12901.00 
7 	 20 	 7 	 1 	 14072.00 
8 	 20 	 3 	 1 	 12767.00 
8 	 20 	 5 	 1 	 13972.00 
8 	 20 	 7 	 1 	 15045.00 
9 	 20 	 3 	 1 	 13347.00 
9 	 20 	 5 	 1 	 14656.00 
9 	 20 	 7 	 1 	 15771.00 
10 	 20 	 3 	 1 	 7568.00 
10 	 20 	 5 	 1 	 8837.00 
10 	 20 	 7 	 1 	 9998.00 
11 	 20 	 3 	 1 	 10042.00 
11 	 20 	 5 	 1 	 11435.00 
11 	 20 	 7 	 1 	 12671.00 
12 	 20 	 3 	 1 	 11282.00 
12 	 20 	 5 	 1 	 12473.00 
12 	 20 	 7 	 1 	 13548.00 
13 	 20 	 3 	 1 	 10263.00 
13 	 20 	 5 	 1 	 11411.00 
13 	 20 	 7 	 1 	 12371.00 
14 	 20 	 3 	 1 	 14959.00 
14 	 20 	 5 	 1 	 16270.00 
14 	 20 	 7 	 1 	 17399.00 
15 	 20 	 3 	 1 	 11466.00 
15 	 20 	 5 	 1 	 12688.00 
15 	 20 	 7 	 1 	 13771.00 
16 	 20 	 3 	 1 	 13713.00 
16 	 20 	 5 	 1 	 15522.00 
16 	 20 	 7 	 1 	 17175.00 
17 	 20 	 3 	 1 	 14360.00 
17 	 20 	 5 	 1 	 15986.00 
17 	 20 	 7 	 1 	 17306.00 
18 	 20 	 3 	 1 	 10475.00 
18 	 20 	 5 	 1 	 11878.00 
18 	 20 	 7 	 1 	 13103.00 
19 	 20 	 3 	 1 	 13583.00 
19 	 20 	 5 	 1 	 14924.00 
19 	 20 	 7 	 1 	 16117.00 
20 	 20 	 3 	 1 	 16628.00 
20 	 20 	 5 	 1 	 18010.00 
20 	 20 	 7 	 1 	 19274.00 
