instance 	 n 	 Gamma 	 objval 
12 	 20 	 5 	 12327.00 
12 	 20 	 7 	 13422.00 
13 	 20 	 3 	 10027.00 
13 	 20 	 5 	 11412.00 
13 	 20 	 7 	 12260.00 
14 	 20 	 3 	 15467.00 
14 	 20 	 5 	 16453.00 
14 	 20 	 7 	 17816.00 
15 	 20 	 3 	 11224.00 
15 	 20 	 5 	 12721.00 
15 	 20 	 7 	 14118.00 
16 	 20 	 3 	 13810.00 
16 	 20 	 5 	 16223.00 
16 	 20 	 7 	 17906.00 
17 	 20 	 3 	 13583.00 
17 	 20 	 5 	 15940.00 
17 	 20 	 7 	 18098.00 
18 	 20 	 3 	 10433.00 
18 	 20 	 5 	 11730.00 
18 	 20 	 7 	 13195.00 
19 	 20 	 3 	 13353.00 
19 	 20 	 5 	 14805.00 
19 	 20 	 7 	 16174.00 
20 	 20 	 3 	 16638.00 
20 	 20 	 5 	 18414.00 
20 	 20 	 7 	 19953.00 
