n,Gamma,Delta,runtime,LBgap,UBgap,solved
10,7,0,0.3,0.0,0.0,20
10,7,1,600.0,100.0,0.0,0
10,7,2,600.0,100.0,0.0,0
10,7,3,600.0,100.0,0.0,0
15,7,0,3.0,0.0,0.0,20
15,7,1,600.0,100.0,0.3,0
15,7,2,600.0,100.0,0.3,0
15,7,3,600.0,100.0,0.3,0
20,7,0,133.0,0.1,0.0,18
20,7,1,600.0,100.0,0.7,0
20,7,2,600.0,100.0,0.5,0
20,7,3,600.0,100.0,0.5,0
