n,Gamma,Delta,runtime,LBgap,UBgap,solved
10,7,0,0.0,0.0,0.0,20
10,7,1,2.2,0.0,0.0,20
10,7,2,3.4,0.0,0.0,20
10,7,3,5.9,0.0,0.0,20
15,7,0,0.2,0.0,0.0,20
15,7,1,337.6,0.1,0.0,12
15,7,2,198.1,0.0,0.0,16
15,7,3,178.2,0.0,0.0,16
20,7,0,1.6,0.0,0.0,20
20,7,1,600.0,0.9,0.0,0
20,7,2,600.0,0.4,0.0,0
20,7,3,556.4,0.1,0.0,8
