n,Gamma,Delta,runtime,LBgap,UBgap,solved
10,7,0,0,0,0,20
10,7,1,2.1,0,0,20
10,7,2,2.1,0,0,20
10,7,3,5.3,0,0,20
15,7,0,0.2,0,0,20
15,7,1,383.9,0.1,0,11
15,7,2,209.4,0,0,16
15,7,3,146.2,0,0,17
20,7,0,1.6,0,0,20
20,7,1,600,0.9,0,0
20,7,2,600,0.5,0,0
20,7,3,518.1,0.2,0,8
